,in_chinese,pin_yin,text
0,有缘千里来相会。 ,yǒuyuán qiānlǐ lái xiāng huì,Fate has us meet from a thousand miles away.
1,握住你的手，和你一起变老。,"wò zhù nǐ de shǒu, hé nǐ yīqǐ biàn lǎo",Hold your hand and grow old with you.
2,情人眼里出西施。,qíngrén yǎn lǐ chū xīshī,"In the eyes of a lover, Xi Shi appears."
3,有情饮水饱，无情食饭饥。,"yǒuqíng yǐnshuǐ bǎo, wúqíng shí fàn jī","Having love, drinking water will fill you up, without love, eating food will leave you hungry."
4,爱屋及乌。,ài wū jí wū,Love the house with its crows (on the roof).
5,一日三秋。,yī rì sānqiū,One day (seems like) three autumns.
6,举案齐眉。,jǔ'ànqíméi,Lifting the tray up to the eyebrows.
7,"生活有爱幸福,为爱生活愚蠢。","shēnghuó yǒu ài xìngfú, wèi ài shēnghuó yúchǔn","Living with love is happy, but living for love is foolish."
8,有情人终成眷属。,yǒuqíng rén zhōng chéng juànshǔ,People in love will get married.
9, 爱不释手。,àibùshìshǒu,Love won’t let go of hand.
10,"笑一笑,十年少。 ","xiào yīxiào, shí niánshào",A smile is the best remedy.
11,"不怕慢, 就怕停。 ","bú pà màn, jiù pà tíng.","Don’t be afraid of going slow, just be afraid of stopping/standing still."
12,授人以鱼不如授人以渔。 ,shòu rén yǐ yú bù rú shòu rén yǐ yú,Give a man a fish and you feed him for a day. Teach a man how to fish and you feed him for a lifetime.
13,"吃一堑,长一智。 ","chī yī qiàn, zhǎng yī zhì","Eat one pit/moat, grow one wisdom."
14,水满则溢。 ,shuǐ mǎn zé yì,Water flows in to flow out.
15,留得青山在，不怕没柴烧。 ,"liú dé qīngshān zài, bùpà méi chái shāo","While there are green hills, there will be wood to burn."
16,请教别人一次是五分钟的傻子，从不请教别人是一辈子的傻子。 ,"qǐngjiào biérén yīcì shì wǔ fēnzhōng de shǎzi, cóng bù qǐngjiào biérén shì yībèizi de shǎzi",He who asks a question might be a fool for five minutes; he who doesn’t ask a question remains a fool forever.
17,一鸟在手胜过双鸟在林。 ,yī niǎo zài shǒu shèngguò shuāng niǎo zài lín,One bird in the hand is better than two birds in a forest.
18,"千军易得, 一将难求。 ","qiān jūn yì dé, yī jiāng nán qiú","It’s easy to find a thousand troops, but a general is hard to find."
19, 英雄所见略同。 ,yīngxióng suǒjiàn lüè tóng,The heroes think the same.
20,家和万事兴。 ,jiā hé wànshì xīnɡ,"If the family lives in harmony, all affairs will prosper."
21,儿行千里母担忧。 (ér xíng qiānlǐ mǔ dānyōu) – “When children go far ,ér xíng qiānlǐ mǔ dānyōu,"When children go far (lit. thousand li/500 km), mothers worry."
22,家家有本难念的经。 ,jiā jiā yǒu běn nán niàn de jīnɡ,Every family has its own issues.
23,有其父必有其子。 ,yǒu qí fù bì yǒu qí zi,"Where there is a father, there is a son."
24,家丑不可外扬。 ,jiāchǒu bùkě wàiyáng,Family’s shames can’t be taken outside/be visible.
25,落叶归根。 ,luòyèguīgēn,Fallen leaves return to their roots.
26,金窝，银窝，不如自家的狗窝。 ,"jīn wō, yín wō, bùrú zìjiā de gǒu wō",A poor man treasures his shack more than gold and silver mansions.
27,儿孙自有儿孙福。 ,érsūn zì yǒu érsūn fú,Children and grandchildren will have their own children and grandchildren.
28,不当家，不知柴米贵。 ,"bùdāng jiā, bùzhī cháimǐ guì","If you don’t manage a household, you wouldn’t know how expensive it is."
29, 家有敝帚，享之千金。 ,"jiā yǒu bì zhǒu, xiǎng zhī qiānjīn",Cherish a broom as if it was gold.
30,万事起头难。 ,wànshì qǐtóu nán,Everything starts hard.
31,熟能生巧。 ,shú néng shēngqiǎo,Practice makes perfect.
32,冰冻三尺，非一日之寒。 ,"bīngdòng sān chǐ, fēi yī rì zhī hán",Freezing into three feet depth can’t be done in one day.
33,"三个臭皮匠，胜过诸葛亮。 (sān gè chòu píjiàng, shèngguò zhūgéliàng) – “Three unskilled ","sān gè chòu píjiàng, shèngguò zhūgéliàng",Three unskilled (“smelly”) cobblers are better than one Zhuge Liang.
34,今日事，今日毕。 ,"jīnrì shì, jīnrì bì",Today’s tasks are to be completed today.
35,师父领进门，修行在个人。 ,"shīfu lǐng jìnmén, xiūxíng zài gèrén","Teachers open the doors, but you enter by yourself."
36,一口吃不成胖子。 ,yīkǒu chī bùchéng pàngzi,To want to get fat with only one bite.
37,欲速则不达。 ,yù sù zé bù dá,Haste is not enough.
38,百闻不如一见。 ,bǎi wén bùrú yī jiàn,Hearing a hundred times doesn’t compare to seeing once.
39, 不入虎穴，焉得虎子。 ,"bù rù hǔxué, yān dé hǔ zi*",You cannot catch tiger cubs without entering the tiger’s lair.
40,萝卜青菜，各有所爱。,"luóbo qīngcài, gè yǒu suǒ ài",Each turnip loves something different.
41,捷足先登。,jiézú-xiāndēng,A fast foot arrives first.
42,覆水难收。,fùshuǐ-nánshōu,Spilt water can’t be gathered up.
43,"凡人不可貌相, 海水不可斗量。","fánrén bùkě màoxiàng, hǎishuǐ bùkě dǒu liàng","Mortals are not to be judged by appearance, and the sea is not to be measured."
44,入乡随俗。 ,rùxiāngsuísú,"Wherever you are, follow local customs."
45,广交友，无深交。,"guǎng jiāoyǒu, wú shēnjiāo","When you have a lot of friends, you don’t have any real friends."
46,同病相怜。 ,tóngbìng-xiānglián,Those with the same illness commiserate with each other.
47,善有善报，恶有恶报。 ,"shàn yǒu shàn bào, è yǒu è bào",The good deeds pay good recompense and the evil pays back with evil.
48,种瓜得瓜。 ,zhòng guā dé guā,"As you sow a melon, you should reap one."
49, 一日之计在于晨。 ,yī rì zhī jì zàiyú chén,The plan of the day should be done in the morning/dawn.
50,用一个筷子吃饭的人是饿的。 ,yòng yīgè kuàizi chīfàn de rén shì è de,Those who eat with one chopstick will stay hungry.
51,一个在床上吃饼干的男人醒来感觉很糟糕。 ,yīgè zài chuángshàng chī bǐnggān de nánrén xǐng lái gǎnjué hěn zāogāo,A man who eats biscuits in his bed wakes up feeling terrible.
52,一个男人在电栅栏上小便将会得到令人震惊的消息。 ,yīgè nánrén zài diàn zhàlán shàng xiǎobiàn jiāng huì dédào lìng rén zhènjīng de xiāoxī,A man urinating on an electric fence will get shocking news.
53,缘木求鱼。 ,yuánmù-qiúyú,To climb a tree to catch fish.
54,拍马屁。 ,pāimǎpì,To beat/slap a horse’s back.
